Name,Role,Notes,Company_Name,CSE_ID,CSE_Name,Retrieved,Check_Needed
 Amarasuriya A.S. ," Independent, Non-Executive Director",Chairman,Agalawatte Plantations PLC,AGAL.N0000,AGALAWATTE PLANTATIONS PLC,4/7/19,FALSE
 Gunathilake G.P.N.A.G. ,"Non-Independent, Executive Director",Chief Executive Officer,Agalawatte Plantations PLC,AGAL.N0000,AGALAWATTE PLANTATIONS PLC,4/7/19,FALSE
Ramanayake R.P..L. ,"Non-Independent, Non-Executive Director",,Agalawatte Plantations PLC,AGAL.N0000,AGALAWATTE PLANTATIONS PLC,4/7/19,FALSE
Asanga W.A.A. ,"Non-Independent, Non-Executive Director",,Agalawatte Plantations PLC,AGAL.N0000,AGALAWATTE PLANTATIONS PLC,4/7/19,FALSE
Rajasekara L.R.W.S. ,"Non-Independent, Non-Executive Director",,Agalawatte Plantations PLC,AGAL.N0000,AGALAWATTE PLANTATIONS PLC,4/7/19,FALSE
Ranaweera R. K. A. ,Independent Non-Executive Director,,Agalawatte Plantations PLC,AGAL.N0000,AGALAWATTE PLANTATIONS PLC,4/7/19,FALSE
 Jayawardena D.H.S.,Managing Director,,Balangoda Plantations PLC,BALA.N0000,BALANGODA PLANTATIONS PLC,4/7/19,FALSE
 Weerakoon J.R.,Chief Executive Officer,,Balangoda Plantations PLC,BALA.N0000,BALANGODA PLANTATIONS PLC,4/7/19,FALSE
Jansz C.R,,,Balangoda Plantations PLC,BALA.N0000,BALANGODA PLANTATIONS PLC,4/7/19,FALSE
Shakthevale A.,,,Balangoda Plantations PLC,BALA.N0000,BALANGODA PLANTATIONS PLC,4/7/19,FALSE
Amarasekera D.S.K.,,,Balangoda Plantations PLC,BALA.N0000,BALANGODA PLANTATIONS PLC,4/7/19,FALSE
"Jayawardena, D.Hasitha Stassen ",Non-Executive Non-Independent Director,,Balangoda Plantations PLC,BALA.N0000,BALANGODA PLANTATIONS PLC,4/7/19,FALSE
Perera A.S. ,Executive Non-Independent Director,,Balangoda Plantations PLC,BALA.N0000,BALANGODA PLANTATIONS PLC,4/7/19,FALSE
Gooneratne A.L.,,,Balangoda Plantations PLC,BALA.N0000,BALANGODA PLANTATIONS PLC,4/7/19,FALSE
 Ambani D.J.,Chairman,,Bogawantalawa Tea Estates PLC,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,4/7/19,FALSE
 Ambani L.J.,Co-Chairman,,Bogawantalawa Tea Estates PLC,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,4/7/19,FALSE
Non-Executive Deputy  Molligoda J.,Chairman,,Bogawantalawa Tea Estates PLC,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,4/7/19,FALSE
Acting  Samarakone M.,Chief Executive Officer,,Bogawantalawa Tea Estates PLC,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,4/7/19,FALSE
Haglind C.M.O,,,Bogawantalawa Tea Estates PLC,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,4/7/19,FALSE
Wickamanayake D.A.De Silva,,,Bogawantalawa Tea Estates PLC,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,4/7/19,FALSE
Jayasundara S.A.S.,Independent Director,,Bogawantalawa Tea Estates PLC,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,4/7/19,FALSE
Nanayakkara G. V. M. ,Independent Non-Executive Director,,Bogawantalawa Tea Estates PLC,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,4/7/19,FALSE
Munasinghe L.H. ,Executive Director,,Bogawantalawa Tea Estates PLC,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,4/7/19,FALSE
 Dissanayake M.P.,Chairman,,Elpitiya Plantations,ELPL.N0000,ELPITIYA PLANTATIONS PLC,4/7/19,TRUE
 Fernando R.M.,Managing Director,,Elpitiya Plantations,ELPL.N0000,ELPITIYA PLANTATIONS PLC,4/7/19,TRUE
 Bulumulla B. ,Executive Director,Chief Executive Officer,Elpitiya Plantations,ELPL.N0000,ELPITIYA PLANTATIONS PLC,4/7/19,TRUE
Merrill J Fernando,,,Elpitiya Plantations,ELPL.N0000,ELPITIYA PLANTATIONS PLC,4/7/19,TRUE
Malik J Fernando,,,Elpitiya Plantations,ELPL.N0000,ELPITIYA PLANTATIONS PLC,4/7/19,TRUE
