key,source,relationship,name,wiki_link,notes
dorisleuthard,https://en.wikipedia.org/wiki/Doris_Leuthard,S,Roland Hausin,N/A,
moonjaein,https://en.wikipedia.org/wiki/Moon_Jae-in,S,Kim Jung-sook,/wiki/Kim_Jung-sook,
moonjaein,https://en.wikipedia.org/wiki/Moon_Jae-in,C,Unknown,N/A,2
benjaminnetanyahu,https://en.wikipedia.org/wiki/Benjamin_Netanyahu,S,Sara Netanyahu,/wiki/Sara_Netanyahu,
benjaminnetanyahu,https://en.wikipedia.org/wiki/Benjamin_Netanyahu,S,Miriam Weizmann,N/A,m. 1972; div. 1978
benjaminnetanyahu,https://en.wikipedia.org/wiki/Benjamin_Netanyahu,S,Fleur Cates,N/A,m. 1981; div. 1984
benjaminnetanyahu,https://en.wikipedia.org/wiki/Benjamin_Netanyahu,C,Unknown,N/A,3
benjaminnetanyahu,https://en.wikipedia.org/wiki/Benjamin_Netanyahu,P,Benzion Netanyahu,/wiki/Benzion_Netanyahu,
benjaminnetanyahu,https://en.wikipedia.org/wiki/Benjamin_Netanyahu,P,Tzila Segal,N/A,
kimjongun,https://en.wikipedia.org/wiki/Kim_Jong-un,S,Ri Sol-ju,/wiki/Ri_Sol-ju,
kimjongun,https://en.wikipedia.org/wiki/Kim_Jong-un,C,Kim Ju-ae,/wiki/Kim_Ju-ae,
kimjongun,https://en.wikipedia.org/wiki/Kim_Jong-un,P,Kim Jong-il,/wiki/Kim_Jong-il,
kimjongun,https://en.wikipedia.org/wiki/Kim_Jong-un,P,Ko Yong-hui,/wiki/Ko_Yong-hui,
josemujica,https://en.wikipedia.org/wiki/Jos%C3%A9_Mujica,S,Lucía Topolansky,/wiki/Luc%C3%ADa_Topolansky,
petroporoshenko,https://en.wikipedia.org/wiki/Petro_Poroshenko,S,Maryna Poroshenko,/wiki/Maryna_Poroshenko,
petroporoshenko,https://en.wikipedia.org/wiki/Petro_Poroshenko,C,Olexiy Poroshenko,/wiki/Olexiy_Poroshenko,
danielortega,https://en.wikipedia.org/wiki/Daniel_Ortega,S,Rosario Murillo,/wiki/Rosario_Murillo,
danielortega,https://en.wikipedia.org/wiki/Daniel_Ortega,C,Unknown,N/A,15
fuadmasum,https://en.wikipedia.org/wiki/Fuad_Masum,S,Rounak Abdulwahid Mustafa  ,N/A,1967–present
fuadmasum,https://en.wikipedia.org/wiki/Fuad_Masum,C,Juwan Fouad Masum,/wiki/Juwan_Fouad_Masum,
karolospapoulias,https://en.wikipedia.org/wiki/Karolos_Papoulias,S,Mary Panou,N/A,
karolospapoulias,https://en.wikipedia.org/wiki/Karolos_Papoulias,C,FaniVickyAnna,N/A,
abdulhamid,https://en.wikipedia.org/wiki/Abdulhamid,N/A,N/A,N/A,
ivojosipovic,https://en.wikipedia.org/wiki/Ivo_Josipovi%C4%87,S,Tatjana Josipović,/wiki/Tatjana_Josipovi%C4%87,
ivojosipovic,https://en.wikipedia.org/wiki/Ivo_Josipovi%C4%87,C,Lana,N/A,
